# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-05-07T11:41:15
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000318
-326.86666666	-0.00006406
-326.83333333	-0.00004751
-326.80000000	0.00001920
-326.76666666	-0.00007385
-326.73333333	-0.00000614
-326.70000000	0.00005098
-326.66666666	-0.00001259
-326.63333333	-0.00006559
-326.60000000	0.00003337
-326.56666666	0.00003222
-326.53333333	-0.00003018
-326.50000000	-0.00002962
-326.46666666	0.00001606
-326.43333333	0.00010920
-326.40000000	-0.00006454
-326.36666666	0.00001073
-326.33333333	0.00001369
-326.30000000	0.00000410
-326.26666666	0.00000174
-326.23333333	0.00000042
-326.20000000	-0.00009510
-326.16666666	-0.00000387
-326.13333333	0.00001149
-326.10000000	0.00005051
-326.06666667	0.00017916
-326.03333333	0.00001730
-326.00000000	0.00000446
-325.96666667	-0.00001260
-325.93333333	-0.00005216
-325.90000000	-0.00001396
-325.86666667	-0.00001060
-325.83333333	0.00001430
-325.80000000	-0.00001227
-325.76666667	0.00003403
-325.73333333	-0.00001323
-325.70000000	0.00003047
-325.66666667	0.00003158
-325.63333333	-0.00004954
-325.60000000	0.00000539
-325.56666667	0.00001225
-325.53333333	0.00005317
-325.50000000	-0.00002161
-325.46666667	-0.00006100
-325.43333333	0.00000298
-325.40000000	0.00000213
-325.36666667	0.00000573
-325.33333334	0.00001572
-325.30000000	0.00001733
-325.26666667	0.00007938
-325.23333334	0.00006901
-325.20000000	-0.00002118
-325.16666667	0.00001784
-325.13333334	0.00001514
-325.10000000	-0.00002173
-325.06666667	-0.00006105
-325.03333334	-0.00001680
-325.00000000	-0.00002727
-324.96666667	0.00001240
-324.93333334	-0.00008978
-324.90000000	-0.00000336
-324.86666667	-0.00002158
-324.83333334	0.00001554
-324.80000000	-0.00005342
-324.76666667	0.00007435
-324.73333334	0.00002823
-324.70000000	0.00007114
-324.66666667	0.00002250
-324.63333334	0.00007534
-324.60000000	0.00004201
-324.56666667	0.00000579
-324.53333334	0.00008039
-324.50000001	0.00006695
-324.46666667	0.00008981
-324.43333334	0.00000744
-324.40000001	0.00005024
-324.36666667	0.00004879
-324.33333334	0.00006987
-324.30000001	0.00006237
-324.26666667	0.00004315
-324.23333334	0.00004884
-324.20000001	0.00009252
-324.16666667	0.00005687
-324.13333334	0.00004235
-324.10000001	-0.00002844
-324.06666667	-0.00000926
-324.03333334	0.00001727
-324.00000001	0.00000858
-323.96666667	0.00002340
-323.93333334	-0.00000518
-323.90000001	0.00000728
-323.86666667	-0.00000397
-323.83333334	-0.00000177
-323.80000001	-0.00001169
-323.76666668	-0.00007590
-323.73333334	-0.00005566
-323.70000001	-0.00008803
-323.66666668	-0.00006833
-323.63333334	-0.00008199
-323.60000001	-0.00005797
-323.56666668	0.00004330
-323.53333334	0.00000590
-323.50000001	-0.00002222
-323.46666668	-0.00008694
-323.43333334	0.00001761
-323.40000001	-0.00006415
-323.36666668	-0.00006115
-323.33333334	-0.00002544
-323.30000001	-0.00004392
-323.26666668	-0.00000252
-323.23333334	-0.00003779
-323.20000001	-0.00001038
-323.16666668	-0.00006488
-323.13333334	-0.00003257
-323.10000001	0.00000779
-323.06666668	-0.00001899
-323.03333334	-0.00002681
-323.00000001	-0.00005127
-322.96666668	0.00000102
-322.93333335	0.00005074
-322.90000001	0.00003734
-322.86666668	0.00003969
-322.83333335	-0.00004726
-322.80000001	-0.00002529
-322.76666668	0.00004900
-322.73333335	0.00008511
-322.70000001	0.00001550
-322.66666668	0.00002411
-322.63333335	-0.00001374
-322.60000001	0.00002708
-322.56666668	-0.00000474
-322.53333335	0.00000482
-322.50000001	0.00004241
-322.46666668	-0.00000684
-322.43333335	-0.00003250
-322.40000001	0.00001826
-322.36666668	0.00001094
-322.33333335	0.00001401
-322.30000001	-0.00000968
-322.26666668	0.00002506
-322.23333335	0.00000954
-322.20000002	0.00003935
-322.16666668	-0.00004842
-322.13333335	0.00001455
-322.10000002	-0.00004560
-322.06666668	0.00000920
-322.03333335	0.00002307
-322.00000002	-0.00000811
-321.96666668	-0.00000669
-321.93333335	-0.00001153
-321.90000002	0.00007355
-321.86666668	0.00008759
-321.83333335	0.00008993
-321.80000002	0.00004038
-321.76666668	-0.00001850
-321.73333335	-0.00007295
-321.70000002	-0.00004058
-321.66666668	0.00006895
-321.63333335	0.00005961
-321.60000002	-0.00002767
-321.56666668	0.00011009
-321.53333335	-0.00000853
-321.50000002	0.00002945
-321.46666668	0.00003267
-321.43333335	0.00012622
-321.40000002	0.00000643
-321.36666669	0.00005091
-321.33333335	0.00004284
-321.30000002	-0.00004112
-321.26666669	0.00000910
-321.23333335	0.00004154
-321.20000002	0.00003829
-321.16666669	-0.00009656
-321.13333335	-0.00000999
-321.10000002	0.00008203
-321.06666669	0.00006153
-321.03333335	0.00005612
-321.00000002	0.00015878
-320.96666669	0.00013025
-320.93333335	0.00005185
-320.90000002	0.00008244
-320.86666669	0.00011976
-320.83333335	0.00015829
-320.80000002	0.00015459
-320.76666669	0.00004199
-320.73333335	0.00009403
-320.70000002	0.00006110
-320.66666669	0.00005994
-320.63333336	0.00006598
-320.60000002	0.00008602
-320.56666669	0.00015906
-320.53333336	0.00013003
-320.50000002	0.00017751
-320.46666669	0.00017070
-320.43333336	0.00015886
-320.40000002	0.00013753
-320.36666669	0.00019295
-320.33333336	0.00018543
-320.30000002	0.00008016
-320.26666669	0.00013986
-320.23333336	0.00015783
-320.20000002	0.00013798
-320.16666669	0.00008212
-320.13333336	0.00014284
-320.10000002	0.00011328
-320.06666669	0.00026691
-320.03333336	0.00023224
-320.00000002	0.00021941
-319.96666669	0.00027910
-319.93333336	0.00026382
-319.90000002	0.00026381
-319.86666669	0.00029170
-319.83333336	0.00026562
-319.80000003	0.00024087
-319.76666669	0.00035236
-319.73333336	0.00034179
-319.70000003	0.00026498
-319.66666669	0.00040250
-319.63333336	0.00041207
-319.60000003	0.00033109
-319.56666669	0.00033495
-319.53333336	0.00032679
-319.50000003	0.00038071
-319.46666669	0.00038934
-319.43333336	0.00038886
-319.40000003	0.00030816
-319.36666669	0.00033571
-319.33333336	0.00040900
-319.30000003	0.00041289
-319.26666669	0.00048061
-319.23333336	0.00048248
-319.20000003	0.00037319
-319.16666669	0.00041393
-319.13333336	0.00050186
-319.10000003	0.00041754
-319.06666670	0.00044371
-319.03333336	0.00040342
-319.00000003	0.00044971
-318.96666670	0.00039899
-318.93333336	0.00050257
-318.90000003	0.00046270
-318.86666670	0.00050129
-318.83333336	0.00050667
-318.80000003	0.00048283
-318.76666670	0.00047877
-318.73333336	0.00047668
-318.70000003	0.00054550
-318.66666670	0.00043429
-318.63333336	0.00057674
-318.60000003	0.00053061
-318.56666670	0.00042035
-318.53333336	0.00049430
-318.50000003	0.00045644
-318.46666670	0.00051826
-318.43333336	0.00054558
-318.40000003	0.00047924
-318.36666670	0.00054425
-318.33333336	0.00060498
-318.30000003	0.00063794
-318.26666670	0.00052888
