# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-34.56462998
0.00732601	-39.36766488
0.01465201	-25.49103245
0.02197802	-25.15208001
0.02930403	-32.33872757
0.03663004	-34.81109857
0.04395604	-23.83951497
0.05128205	-20.36158780
0.05860806	-24.75035372
0.06593407	-21.25544543
0.07326007	-16.67715436
0.08058608	-22.40331537
0.08791209	-17.85590408
0.09523810	-10.72202839
0.10256410	-12.42593007
0.10989011	-15.83785464
0.11721612	-9.06454544
0.12454213	-8.69771207
0.13186813	-10.74602425
0.13919414	-8.12312379
0.14652015	-6.88330502
0.15384615	-7.83915363
0.16117216	-7.50129172
0.16849817	-5.58635505
0.17582418	-5.46281618
0.18315018	-6.92159803
0.19047619	-5.58150183
0.19780220	-4.08229710
0.20512821	-4.67672182
0.21245421	-5.10610191
0.21978022	-3.80291018
0.22710623	-2.66758575
0.23443224	-3.16456947
0.24175824	-3.90366510
0.24908425	-2.35180920
0.25641026	-2.13368675
0.26373626	-3.19263771
0.27106227	-1.81455004
0.27838828	-1.27598895
0.28571429	-2.32111505
0.29304029	-1.66737327
0.30036630	-0.99952377
0.30769231	-1.48134569
0.31501832	-1.56905459
0.32234432	-1.21653779
0.32967033	-0.97557809
0.33699634	-1.11713712
0.34432235	-1.17332965
0.35164835	-0.64531785
0.35897436	-0.55658722
0.36630037	-0.85475956
0.37362638	-0.81618384
0.38095238	-0.53223978
0.38827839	-0.16774067
0.39560440	-0.13876801
0.40293040	-0.18960557
0.41025641	-0.00118411
0.41758242	-0.07632788
0.42490843	-0.22500453
0.43223443	-0.29945322
0.43956044	-0.39672643
0.44688645	-0.34192185
0.45421246	-0.38281877
0.46153846	-0.45743294
0.46886447	-0.53933421
0.47619048	-0.60722310
0.48351649	-0.48950517
0.49084249	-0.46595020
0.49816850	-0.40570661
0.50549451	-0.44555335
0.51282052	-0.36477575
0.52014652	-0.09945716
0.52747253	-0.65011323
0.53479854	-0.65575087
0.54212454	-0.09856373
0.54945055	-1.56732883
0.55677656	-3.50700570
0.56410257	-2.31952887
0.57142857	-1.20429981
0.57875458	-0.93932443
0.58608059	-1.35111713
0.59340660	-1.20476763
0.60073260	-0.88351413
0.60805861	-1.45077710
0.61538462	-1.30642458
0.62271063	-1.17328352
0.63003663	-1.45787876
0.63736264	-1.15569055
0.64468865	-1.41491740
0.65201465	-1.39968958
0.65934066	-1.30849446
0.66666667	-1.91606660
0.67399268	-1.59360563
0.68131868	-1.85620900
0.68864469	-2.45618607
0.69597070	-1.94789406
0.70329671	-2.56641111
0.71062271	-2.82281738
0.71794872	-2.37387834
0.72527473	-3.21661148
0.73260074	-3.15933867
0.73992674	-3.02892747
0.74725275	-4.54194665
0.75457876	-5.08838729
0.76190477	-4.02896264
0.76923077	-3.48757931
0.77655678	-3.70388059
0.78388279	-3.78479107
0.79120879	-3.64482089
0.79853480	-3.92452156
0.80586081	-4.02673429
0.81318682	-4.19186858
0.82051282	-4.51330226
0.82783883	-4.49755901
0.83516484	-4.62317249
0.84249085	-4.75462729
0.84981685	-4.93814925
0.85714286	-5.08931881
0.86446887	-5.14684784
0.87179488	-5.36782986
0.87912088	-5.23966571
0.88644689	-5.36164483
0.89377290	-5.54320312
0.90109890	-5.37952079
0.90842491	-5.68000885
0.91575092	-5.68746719
0.92307693	-5.68629605
0.93040293	-5.90999743
0.93772894	-5.82180224
0.94505495	-6.17997695
0.95238096	-6.16438897
0.95970696	-6.26733025
0.96703297	-6.84710623
0.97435898	-6.57983418
0.98168499	-7.38540126
0.98901099	-8.40678035
0.99633700	-7.44170472
1.00366301	-7.17433891
1.01098902	-7.22945187
1.01831502	-7.31024827
1.02564103	-7.45659198
1.03296704	-7.39211916
1.04029304	-7.55936568
1.04761905	-7.54501455
1.05494506	-7.85104387
1.06227107	-7.95091288
1.06959707	-8.01613498
1.07692308	-8.56076207
1.08424909	-8.36405140
1.09157510	-10.99568437
1.09890110	-20.29905875
1.10622711	-12.43782724
1.11355312	-11.56982227
1.12087913	-11.13416593
1.12820513	-8.90639124
1.13553114	-9.30191250
1.14285715	-9.79476558
1.15018316	-10.06154404
1.15750916	-13.93605400
1.16483517	-21.92785385
1.17216118	-12.49696048
1.17948718	-9.66197759
1.18681319	-10.03100765
1.19413920	-9.74629207
1.20146521	-10.41716638
1.20879121	-13.61561377
1.21611722	-11.19242964
1.22344323	-10.86744235
1.23076924	-13.44404950
1.23809524	-11.00010186
