# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 50 waveforms. Timestamp: 2026-05-07T11:43:29
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666666	0.00000001
-326.83333333	0.00000001
-326.80000000	-0.00000020
-326.76666666	-0.00000010
-326.73333333	-0.00000072
-326.70000000	-0.00000129
-326.66666666	0.00000015
-326.63333333	-0.00000080
-326.60000000	-0.00000057
-326.56666666	-0.00000259
-326.53333333	0.00000307
-326.50000000	0.00000184
-326.46666666	0.00000161
-326.43333333	-0.00000126
-326.40000000	0.00000186
-326.36666666	0.00000539
-326.33333333	0.00000456
-326.30000000	0.00000889
-326.26666666	0.00000436
-326.23333333	0.00000617
-326.20000000	-0.00000213
-326.16666666	0.00000165
-326.13333333	-0.00001089
-326.10000000	-0.00000646
-326.06666667	0.00001805
-326.03333333	0.00000869
-326.00000000	-0.00001248
-325.96666667	-0.00000379
-325.93333333	-0.00000558
-325.90000000	0.00000081
-325.86666667	0.00000642
-325.83333333	-0.00001765
-325.80000000	-0.00000929
-325.76666667	0.00003479
-325.73333333	-0.00001649
-325.70000000	0.00002221
-325.66666667	0.00000047
-325.63333333	0.00002461
-325.60000000	0.00007505
-325.56666667	0.00000079
-325.53333333	0.00000987
-325.50000000	0.00002108
-325.46666667	0.00001067
-325.43333333	0.00005366
-325.40000000	-0.00005881
-325.36666667	-0.00000888
-325.33333334	0.00001841
-325.30000000	-0.00003312
-325.26666667	-0.00006621
-325.23333334	-0.00002898
-325.20000000	-0.00003270
-325.16666667	0.00007375
-325.13333334	-0.00000895
-325.10000000	0.00001092
-325.06666667	-0.00011350
-325.03333334	0.00000107
-325.00000000	-0.00010413
-324.96666667	-0.00004092
-324.93333334	0.00005811
-324.90000000	0.00010060
-324.86666667	-0.00005625
-324.83333334	0.00005409
-324.80000000	-0.00008419
-324.76666667	-0.00011061
-324.73333334	-0.00000123
-324.70000000	0.00005185
-324.66666667	0.00002040
-324.63333334	-0.00019523
-324.60000000	-0.00012009
-324.56666667	-0.00011224
-324.53333334	-0.00007725
-324.50000001	-0.00018801
-324.46666667	-0.00006480
-324.43333334	-0.00013429
-324.40000001	-0.00009045
-324.36666667	-0.00018747
-324.33333334	-0.00022404
-324.30000001	-0.00020644
-324.26666667	0.00000471
-324.23333334	-0.00019217
-324.20000001	-0.00008720
-324.16666667	-0.00038269
-324.13333334	-0.00023850
-324.10000001	-0.00034542
-324.06666667	-0.00026500
-324.03333334	-0.00030271
-324.00000001	-0.00053529
-323.96666667	0.00013999
-323.93333334	-0.00020043
-323.90000001	-0.00001914
-323.86666667	-0.00014907
-323.83333334	-0.00026839
-323.80000001	-0.00006462
-323.76666668	-0.00024270
-323.73333334	-0.00022900
-323.70000001	-0.00016537
-323.66666668	-0.00013134
-323.63333334	-0.00003951
-323.60000001	-0.00011675
-323.56666668	-0.00011529
-323.53333334	-0.00003080
-323.50000001	0.00003156
-323.46666668	-0.00025524
-323.43333334	-0.00015571
-323.40000001	-0.00019094
-323.36666668	-0.00020767
-323.33333334	-0.00009579
-323.30000001	-0.00005332
-323.26666668	-0.00012442
-323.23333334	-0.00017870
-323.20000001	-0.00029423
-323.16666668	-0.00029644
-323.13333334	-0.00026869
-323.10000001	-0.00013181
-323.06666668	-0.00020865
-323.03333334	-0.00042087
-323.00000001	-0.00023288
-322.96666668	-0.00031956
-322.93333335	0.00022733
-322.90000001	-0.00010038
-322.86666668	-0.00017128
-322.83333335	-0.00027788
-322.80000001	0.00001552
-322.76666668	-0.00018962
-322.73333335	-0.00028075
-322.70000001	-0.00011351
-322.66666668	-0.00070608
-322.63333335	-0.00012688
-322.60000001	0.00010073
-322.56666668	-0.00010134
-322.53333335	0.00030639
-322.50000001	0.00001528
-322.46666668	0.00020556
-322.43333335	0.00063578
-322.40000001	0.00025902
-322.36666668	-0.00027224
-322.33333335	-0.00005751
-322.30000001	0.00007869
-322.26666668	0.00056314
-322.23333335	0.00036709
-322.20000002	0.00026774
-322.16666668	0.00035494
-322.13333335	0.00017367
-322.10000002	0.00024414
-322.06666668	0.00013501
-322.03333335	0.00006182
-322.00000002	0.00028315
-321.96666668	0.00040573
-321.93333335	0.00016223
-321.90000002	0.00006297
-321.86666668	0.00024137
-321.83333335	0.00007612
-321.80000002	-0.00012563
-321.76666668	-0.00009560
-321.73333335	0.00013033
-321.70000002	0.00069788
-321.66666668	0.00027149
-321.63333335	0.00034071
-321.60000002	-0.00021181
-321.56666668	0.00014660
-321.53333335	0.00013236
-321.50000002	-0.00033869
-321.46666668	-0.00019992
-321.43333335	-0.00017617
-321.40000002	0.00004722
-321.36666669	-0.00032945
-321.33333335	-0.00052200
-321.30000002	-0.00020142
-321.26666669	0.00006285
-321.23333335	-0.00007299
-321.20000002	-0.00034606
-321.16666669	-0.00014355
-321.13333335	0.00027747
-321.10000002	-0.00025278
-321.06666669	-0.00017105
-321.03333335	-0.00004980
-321.00000002	-0.00032993
-320.96666669	-0.00051348
-320.93333335	-0.00017097
-320.90000002	-0.00035217
-320.86666669	-0.00003728
-320.83333335	-0.00010127
-320.80000002	-0.00013174
-320.76666669	0.00022887
-320.73333335	-0.00002850
-320.70000002	0.00039928
-320.66666669	0.00018045
-320.63333336	0.00036994
-320.60000002	0.00016521
-320.56666669	-0.00004577
-320.53333336	-0.00022062
-320.50000002	0.00008859
-320.46666669	0.00009469
-320.43333336	0.00022648
-320.40000002	-0.00002359
-320.36666669	0.00020306
-320.33333336	-0.00019717
-320.30000002	-0.00033009
-320.26666669	0.00040770
-320.23333336	0.00025033
-320.20000002	0.00030104
-320.16666669	-0.00002459
-320.13333336	0.00026882
-320.10000002	0.00025295
-320.06666669	0.00023760
-320.03333336	-0.00016998
-320.00000002	0.00016135
-319.96666669	0.00019445
-319.93333336	0.00054956
-319.90000002	0.00046663
