# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 1 waveforms. Timestamp: 2026-05-07T11:35:16
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00092985
-326.86666666	0.00109740
-326.83333333	0.00097817
-326.80000000	0.00329950
-326.76666666	-0.00045716
-326.73333333	-0.00083669
-326.70000000	0.00080415
-326.66666666	0.00000660
-326.63333333	-0.00122317
-326.60000000	0.00069227
-326.56666666	0.00145150
-326.53333333	-0.00054536
-326.50000000	-0.00105999
-326.46666666	0.00137850
-326.43333333	0.00021916
-326.40000000	0.00062448
-326.36666666	-0.00058419
-326.33333333	0.00054026
-326.30000000	0.00062084
-326.26666666	-0.00241803
-326.23333333	-0.00265929
-326.20000000	-0.00013682
-326.16666666	0.00141437
-326.13333333	-0.00026899
-326.10000000	-0.00179129
-326.06666667	-0.00060316
-326.03333333	-0.00158656
-326.00000000	-0.00109251
-325.96666667	0.00027196
-325.93333333	0.00093422
-325.90000000	-0.00048390
-325.86666667	0.00116626
-325.83333333	-0.00236504
-325.80000000	-0.00114856
-325.76666667	-0.00099342
-325.73333333	0.00084746
-325.70000000	0.00310871
-325.66666667	-0.00094218
-325.63333333	-0.00093241
-325.60000000	-0.00156989
-325.56666667	-0.00241277
-325.53333333	-0.00051305
-325.50000000	-0.00219216
-325.46666667	-0.00099901
-325.43333333	-0.00243580
-325.40000000	-0.00043683
-325.36666667	0.00034248
-325.33333334	0.00131838
-325.30000000	-0.00090291
-325.26666667	-0.00154476
-325.23333334	0.00134213
-325.20000000	-0.00060571
-325.16666667	-0.00217424
-325.13333334	0.00049677
-325.10000000	0.00107234
-325.06666667	0.00188049
-325.03333334	0.00146579
-325.00000000	0.00055652
-324.96666667	0.00405728
-324.93333334	0.00274222
-324.90000000	-0.00083303
-324.86666667	-0.00002984
-324.83333334	0.00042716
-324.80000000	0.00129153
-324.76666667	0.00228508
-324.73333334	0.00205115
-324.70000000	0.00082738
-324.66666667	-0.00028099
-324.63333334	0.00015342
-324.60000000	0.00045234
-324.56666667	-0.00031676
-324.53333334	-0.00118375
-324.50000001	0.00204505
-324.46666667	0.00005445
-324.43333334	0.00164354
-324.40000001	0.00173923
-324.36666667	-0.00017515
-324.33333334	0.00188855
-324.30000001	0.00073964
-324.26666667	-0.00196337
-324.23333334	0.00186169
-324.20000001	0.00043503
-324.16666667	-0.00202105
-324.13333334	-0.00074829
-324.10000001	0.00079058
-324.06666667	0.00093212
-324.03333334	0.00133092
-324.00000001	0.00110748
-323.96666667	-0.00039469
-323.93333334	-0.00061674
-323.90000001	-0.00002949
-323.86666667	0.00018878
-323.83333334	-0.00000633
-323.80000001	0.00084505
-323.76666668	-0.00073452
-323.73333334	-0.00040363
-323.70000001	0.00061256
-323.66666668	0.00072198
-323.63333334	-0.00118752
-323.60000001	-0.00136850
-323.56666668	0.00019141
-323.53333334	-0.00155600
-323.50000001	0.00027982
-323.46666668	-0.00146972
-323.43333334	-0.00052324
-323.40000001	-0.00197005
-323.36666668	0.00161139
-323.33333334	0.00187711
-323.30000001	0.00034956
-323.26666668	0.00109860
-323.23333334	0.00030846
-323.20000001	-0.00085176
-323.16666668	-0.00259882
-323.13333334	-0.00086933
-323.10000001	-0.00092406
-323.06666668	-0.00360050
-323.03333334	-0.00326632
-323.00000001	-0.00182493
-322.96666668	0.00070889
-322.93333335	-0.00013485
-322.90000001	-0.00032654
-322.86666668	-0.00116363
-322.83333335	-0.00026260
-322.80000001	-0.00071575
-322.76666668	0.00398733
-322.73333335	0.00010521
-322.70000001	-0.00124814
-322.66666668	0.00095556
-322.63333335	-0.00169987
-322.60000001	0.00102478
-322.56666668	0.00102303
-322.53333335	0.00157739
-322.50000001	0.00203516
-322.46666668	-0.00079018
-322.43333335	-0.00170601
-322.40000001	-0.00204517
-322.36666668	-0.00072487
-322.33333335	0.00081575
-322.30000001	0.00082086
-322.26666668	-0.00043939
-322.23333335	-0.00052472
-322.20000002	-0.00234895
-322.16666668	0.00099607
-322.13333335	0.00166821
-322.10000002	0.00055606
-322.06666668	0.00015612
-322.03333335	-0.00034763
-322.00000002	0.00121216
-321.96666668	0.00255686
-321.93333335	0.00012591
-321.90000002	-0.00005814
-321.86666668	0.00028507
-321.83333335	0.00185223
-321.80000002	0.00231153
-321.76666668	0.00108434
-321.73333335	-0.00068678
-321.70000002	0.00183165
-321.66666668	0.00052912
-321.63333335	0.00093063
-321.60000002	-0.00085536
-321.56666668	-0.00363934
-321.53333335	-0.00052608
-321.50000002	0.00181458
-321.46666668	0.00065807
-321.43333335	-0.00031437
-321.40000002	0.00107273
-321.36666669	0.00082036
-321.33333335	-0.00155789
-321.30000002	0.00167439
-321.26666669	0.00028365
-321.23333335	0.00264927
-321.20000002	-0.00000923
-321.16666669	-0.00234827
-321.13333335	-0.00003858
-321.10000002	-0.00148577
-321.06666669	-0.00086569
-321.03333335	0.00063610
-321.00000002	0.00189535
-320.96666669	0.00061392
-320.93333335	-0.00055265
-320.90000002	-0.00193712
-320.86666669	-0.00162639
-320.83333335	0.00014896
-320.80000002	-0.00103427
-320.76666669	0.00253413
-320.73333335	-0.00022661
-320.70000002	-0.00125931
-320.66666669	-0.00079784
-320.63333336	-0.00191354
-320.60000002	-0.00094367
-320.56666669	0.00005733
-320.53333336	-0.00098196
-320.50000002	-0.00115594
-320.46666669	-0.00199646
-320.43333336	-0.00114942
-320.40000002	0.00228800
-320.36666669	0.00036818
-320.33333336	-0.00171589
-320.30000002	0.00015725
-320.26666669	-0.00015745
-320.23333336	-0.00167799
-320.20000002	0.00139875
-320.16666669	0.00103124
-320.13333336	0.00150669
-320.10000002	0.00038803
-320.06666669	-0.00147680
-320.03333336	0.00032908
-320.00000002	0.00078422
-319.96666669	-0.00087473
-319.93333336	-0.00214148
-319.90000002	0.00030188
-319.86666669	-0.00282364
-319.83333336	-0.00083725
-319.80000003	-0.00148251
-319.76666669	0.00034442
-319.73333336	0.00027565
-319.70000003	0.00178040
-319.66666669	0.00116282
-319.63333336	-0.00072507
-319.60000003	-0.00043814
-319.56666669	-0.00038139
-319.53333336	0.00223752
-319.50000003	0.00080346
-319.46666669	-0.00195405
-319.43333336	-0.00100050
-319.40000003	-0.00053554
-319.36666669	0.00388871
-319.33333336	0.00022643
-319.30000003	0.00138984
-319.26666669	-0.00010432
-319.23333336	-0.00020454
-319.20000003	0.00061227
-319.16666669	0.00203886
-319.13333336	0.00005841
-319.10000003	0.00090318
-319.06666670	0.00148831
-319.03333336	0.00133490
-319.00000003	0.00157143
-318.96666670	0.00119459
-318.93333336	-0.00049491
-318.90000003	-0.00187480
-318.86666670	-0.00013318
-318.83333336	0.00234330
-318.80000003	0.00205844
-318.76666670	0.00317469
-318.73333336	0.00222782
-318.70000003	-0.00093137
-318.66666670	0.00028316
-318.63333336	-0.00071936
-318.60000003	-0.00257606
-318.56666670	0.00054088
-318.53333336	-0.00319836
-318.50000003	-0.00118343
-318.46666670	0.00065704
-318.43333336	-0.00171472
-318.40000003	-0.00150632
-318.36666670	-0.00155980
-318.33333336	-0.00184315
-318.30000003	0.00047103
-318.26666670	0.00087196
-318.23333337	-0.00011967
-318.20000003	0.00001770
-318.16666670	-0.00141919
-318.13333337	0.00289044
-318.10000003	-0.00037587
-318.06666670	-0.00089035
-318.03333337	-0.00283417
-318.00000003	-0.00241098
-317.96666670	0.00224884
-317.93333337	-0.00078663
-317.90000003	0.00076519
-317.86666670	-0.00158820
-317.83333337	-0.00161502
-317.80000003	-0.00035789
-317.76666670	-0.00054826
-317.73333337	0.00155006
-317.70000003	-0.00174873
-317.66666670	0.00162577
-317.63333337	0.00145052
-317.60000003	-0.00101035
-317.56666670	-0.00008870
-317.53333337	-0.00002028
-317.50000004	-0.00032655
-317.46666670	0.00111864
-317.43333337	-0.00158294
-317.40000004	-0.00040993
-317.36666670	0.00051792
-317.33333337	-0.00006397
-317.30000004	-0.00171503
-317.26666670	-0.00024298
-317.23333337	0.00000045
-317.20000004	0.00331123
-317.16666670	-0.00077408
-317.13333337	-0.00027727
-317.10000004	0.00261419
-317.06666670	-0.00192659
-317.03333337	-0.00034631
-317.00000004	0.00273825
-316.96666670	-0.00007594
-316.93333337	-0.00025076
-316.90000004	0.00011256
-316.86666670	-0.00079802
-316.83333337	-0.00116803
-316.80000004	0.00028079
-316.76666670	0.00125670
-316.73333337	0.00138014
-316.70000004	-0.00050935
-316.66666671	0.00100758
-316.63333337	-0.00089691
-316.60000004	-0.00032325
-316.56666671	0.00065335
-316.53333337	0.00083109
-316.50000004	-0.00172567
-316.46666671	0.00129649
-316.43333337	-0.00076099
-316.40000004	-0.00351721
-316.36666671	-0.00185017
-316.33333337	-0.00098537
-316.30000004	-0.00234926
-316.26666671	-0.00196041
-316.23333337	-0.00195290
-316.20000004	-0.00184118
-316.16666671	-0.00090023
-316.13333337	-0.00310296
-316.10000004	-0.00067630
-316.06666671	0.00076266
-316.03333337	0.00136250
-316.00000004	0.00314374
-315.96666671	-0.00100660
-315.93333338	-0.00016172
-315.90000004	-0.00249559
-315.86666671	0.00164153
-315.83333338	-0.00090800
-315.80000004	-0.00144960
-315.76666671	-0.00001099
-315.73333338	-0.00011196
-315.70000004	0.00037173
-315.66666671	-0.00162559
-315.63333338	-0.00389894
-315.60000004	0.00101450
-315.56666671	-0.00231423
-315.53333338	-0.00299981
-315.50000004	0.00153842
-315.46666671	-0.00177407
-315.43333338	-0.00022789
-315.40000004	-0.00125390
-315.36666671	-0.00055269
-315.33333338	0.00254949
-315.30000004	0.00101994
-315.26666671	-0.00089726
