# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666667	-0.00000002
-326.83333334	-0.00000003
-326.80000000	0.00000008
-326.76666667	-0.00000018
-326.73333334	0.00000001
-326.70000000	0.00000046
-326.66666667	-0.00000119
-326.63333334	0.00000025
-326.60000001	-0.00000063
-326.56666667	-0.00000236
-326.53333334	-0.00000223
-326.50000001	-0.00000288
-326.46666667	0.00000263
-326.43333334	-0.00000005
-326.40000001	-0.00000507
-326.36666667	0.00000598
-326.33333334	0.00000429
-326.30000001	0.00001504
-326.26666667	0.00000679
-326.23333334	0.00001143
-326.20000001	0.00000313
-326.16666667	0.00000725
-326.13333334	-0.00000731
-326.10000001	-0.00000199
-326.06666667	-0.00001401
-326.03333334	0.00000810
-326.00000001	-0.00001084
-325.96666667	-0.00000913
-325.93333334	-0.00000421
-325.90000001	0.00001031
-325.86666667	-0.00000314
-325.83333334	0.00000359
-325.80000001	-0.00000389
-325.76666667	-0.00000184
-325.73333334	0.00000199
-325.70000001	0.00000446
-325.66666667	-0.00004250
-325.63333334	0.00001113
-325.60000001	0.00002586
-325.56666667	0.00002506
-325.53333334	0.00003914
-325.50000001	0.00000106
-325.46666667	-0.00002598
-325.43333334	-0.00003633
-325.40000001	-0.00000152
-325.36666667	0.00003459
-325.33333334	0.00000975
-325.30000001	-0.00002893
-325.26666667	0.00005832
-325.23333334	0.00000171
-325.20000001	-0.00003422
-325.16666667	-0.00000139
-325.13333334	0.00008518
-325.10000001	-0.00002914
-325.06666667	0.00000166
-325.03333334	-0.00005639
-325.00000001	-0.00004786
-324.96666667	-0.00002575
-324.93333334	-0.00001352
-324.90000001	-0.00000261
-324.86666667	-0.00001301
-324.83333334	0.00003463
-324.80000001	-0.00001436
-324.76666668	-0.00003540
-324.73333334	-0.00009986
-324.70000001	0.00005213
-324.66666668	-0.00007950
-324.63333334	-0.00013684
-324.60000001	0.00003088
-324.56666668	-0.00011484
-324.53333334	0.00001327
-324.50000001	-0.00013193
-324.46666668	0.00001202
-324.43333334	-0.00009655
-324.40000001	-0.00002996
-324.36666668	-0.00013121
-324.33333334	-0.00001925
-324.30000001	-0.00003313
-324.26666668	-0.00007346
-324.23333334	-0.00002903
-324.20000001	-0.00007244
-324.16666668	-0.00031572
-324.13333334	-0.00012687
-324.10000001	-0.00001905
-324.06666668	-0.00014903
-324.03333334	-0.00013709
-324.00000001	-0.00017494
-323.96666668	-0.00012004
-323.93333334	-0.00006278
-323.90000001	-0.00024818
-323.86666668	-0.00020086
-323.83333334	-0.00030083
-323.80000001	-0.00030675
-323.76666668	-0.00022698
-323.73333334	-0.00031560
-323.70000001	-0.00013563
-323.66666668	-0.00004702
-323.63333334	-0.00021777
-323.60000001	0.00001123
-323.56666668	-0.00024357
-323.53333334	-0.00013249
-323.50000001	0.00007392
-323.46666668	-0.00030956
-323.43333334	-0.00019220
-323.40000001	-0.00006159
-323.36666668	-0.00013112
-323.33333334	-0.00028331
-323.30000001	-0.00019255
-323.26666668	-0.00024527
-323.23333334	-0.00034053
-323.20000001	-0.00044101
-323.16666668	-0.00034392
-323.13333334	-0.00032990
-323.10000001	-0.00000671
-323.06666668	-0.00021331
-323.03333334	-0.00014296
-323.00000001	-0.00017338
-322.96666668	-0.00020338
-322.93333334	-0.00011095
-322.90000001	-0.00029168
-322.86666668	0.00005392
-322.83333335	-0.00025602
-322.80000001	-0.00029934
-322.76666668	-0.00005115
-322.73333335	-0.00003947
-322.70000001	-0.00022656
-322.66666668	-0.00011050
-322.63333335	-0.00023093
-322.60000001	-0.00028802
-322.56666668	-0.00023778
-322.53333335	-0.00008913
-322.50000001	-0.00023868
-322.46666668	-0.00022462
-322.43333335	-0.00017030
-322.40000001	-0.00025571
-322.36666668	-0.00015506
-322.33333335	-0.00015481
-322.30000001	-0.00054614
-322.26666668	-0.00019768
-322.23333335	-0.00024810
-322.20000001	0.00001690
-322.16666668	-0.00015001
-322.13333335	-0.00016739
-322.10000001	-0.00022932
-322.06666668	-0.00016818
-322.03333335	-0.00003861
-322.00000001	-0.00007887
-321.96666668	-0.00015783
-321.93333335	0.00008665
-321.90000001	-0.00006549
-321.86666668	-0.00011070
-321.83333335	-0.00004413
-321.80000001	-0.00008987
-321.76666668	-0.00009587
-321.73333335	-0.00008066
-321.70000001	-0.00026885
-321.66666668	-0.00041728
-321.63333335	-0.00029018
-321.60000001	-0.00023364
-321.56666668	-0.00051086
-321.53333335	-0.00010832
-321.50000001	-0.00018557
-321.46666668	-0.00020793
-321.43333335	-0.00018537
-321.40000001	0.00008379
-321.36666668	0.00005341
-321.33333335	-0.00001896
-321.30000001	0.00012139
-321.26666668	0.00005301
-321.23333335	0.00002895
