# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-47.81867578
0.00732601	-40.33659567
0.01465201	-35.67911624
0.02197802	-36.47028164
0.02930403	-43.62842877
0.03663004	-41.15770193
0.04395604	-33.86826854
0.05128205	-31.60248124
0.05860806	-37.04544724
0.06593407	-30.24976818
0.07326007	-27.41902460
0.08058608	-33.41387939
0.08791209	-27.30306150
0.09523810	-21.20780847
0.10256410	-22.67529597
0.10989011	-26.15330725
0.11721612	-19.63644635
0.12454212	-18.83452785
0.13186813	-21.42101577
0.13919414	-18.30091583
0.14652015	-16.33066341
0.15384615	-17.50680146
0.16117216	-16.55394421
0.16849817	-14.52068718
0.17582418	-14.90719756
0.18315018	-16.10166205
0.19047619	-15.13172539
0.19780220	-13.99606524
0.20512821	-14.31106398
0.21245421	-15.02595580
0.21978022	-13.38137644
0.22710623	-11.84741607
0.23443223	-12.36365218
0.24175824	-12.42603484
0.24908425	-10.70423659
0.25641026	-10.57416524
0.26373626	-11.46355891
0.27106227	-10.50235619
0.27838828	-10.15068745
0.28571429	-11.33222708
0.29304029	-10.92661673
0.30036630	-9.99447980
0.30769231	-10.31434250
0.31501832	-10.13006091
0.32234432	-9.15807440
0.32967033	-8.68441804
0.33699634	-8.62624612
0.34432234	-8.57301117
0.35164835	-8.46373800
0.35897436	-8.63999899
0.36630037	-9.18941531
0.37362637	-9.41446769
0.38095238	-9.01439075
0.38827839	-8.51859311
0.39560440	-8.14450128
0.40293040	-7.67706129
0.41025641	-7.07322909
0.41758242	-6.77771580
0.42490843	-6.93356453
0.43223443	-7.24418226
0.43956044	-7.65980550
0.44688645	-8.08192881
0.45421246	-8.29738986
0.46153846	-8.49473432
0.46886447	-8.47280766
0.47619048	-8.11195390
0.48351648	-7.64426738
0.49084249	-6.95983438
0.49816850	-6.49467591
0.50549451	-6.48164628
0.51282051	-6.45592587
0.52014652	-6.75487292
0.52747253	-7.72350650
0.53479854	-8.04383898
0.54212454	-7.83434160
0.54945055	-9.03763302
0.55677656	-10.77223605
0.56410257	-9.12243720
0.57142857	-7.15205714
0.57875458	-6.64881543
0.58608059	-6.66573583
0.59340659	-6.61187225
0.60073260	-7.00972303
0.60805861	-7.80066400
0.61538462	-8.32645999
0.62271062	-8.53128838
0.63003663	-8.50184494
0.63736264	-8.32669603
0.64468865	-7.85489182
0.65201465	-7.10720931
0.65934066	-6.71882831
0.66666667	-6.58723819
0.67399268	-6.60684337
0.68131868	-7.35723752
0.68864469	-8.31675569
0.69597070	-8.69576866
0.70329670	-9.44619866
0.71062271	-9.77891680
0.71794872	-9.27396419
0.72527473	-9.39219871
0.73260073	-8.81876142
0.73992674	-8.01069049
0.74725275	-8.83509565
0.75457876	-9.67784216
0.76190476	-8.88304606
0.76923077	-9.02868621
0.77655678	-10.05730432
0.78388279	-10.31974449
0.79120879	-10.48517742
0.79853480	-10.58743595
0.80586081	-10.10778256
0.81318681	-9.67307110
0.82051282	-9.14691348
0.82783883	-8.54632284
0.83516484	-8.51777553
0.84249084	-9.16834722
0.84981685	-10.03944767
0.85714286	-10.83896003
0.86446887	-11.54803556
0.87179487	-11.84780314
0.87912088	-11.71896070
0.88644689	-11.43136726
0.89377290	-10.80762535
0.90109890	-9.98735601
0.90842491	-9.41703803
0.91575092	-9.31699042
0.92307692	-9.72196619
0.93040293	-10.49156504
0.93772894	-11.44052166
0.94505495	-12.19752405
0.95238095	-12.45125745
0.95970696	-12.72732907
0.96703297	-12.64048981
0.97435898	-11.89298195
0.98168498	-11.83836443
0.98901099	-11.84708547
0.99633700	-10.81900958
1.00366301	-10.57109022
1.01098901	-11.58463712
1.01831502	-12.45829771
1.02564103	-13.14220318
1.03296703	-13.79212228
1.04029304	-13.56430334
1.04761905	-13.54654263
1.05494506	-13.13073716
1.06227106	-12.10476027
1.06959707	-11.74288456
1.07692308	-11.33648542
1.08424909	-11.56273179
