# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666666	0.00000004
-326.83333333	0.00000013
-326.80000000	-0.00000015
-326.76666666	0.00000001
-326.73333333	0.00000045
-326.70000000	0.00000078
-326.66666666	0.00000195
-326.63333333	0.00000063
-326.60000000	0.00000104
-326.56666666	0.00000006
-326.53333333	-0.00000430
-326.50000000	-0.00000071
-326.46666666	-0.00000111
-326.43333333	0.00000162
-326.40000000	-0.00000121
-326.36666666	0.00000475
-326.33333333	0.00000051
-326.30000000	0.00000396
-326.26666666	-0.00000683
-326.23333333	0.00000865
-326.20000000	0.00000015
-326.16666666	-0.00001691
-326.13333333	-0.00001243
-326.10000000	-0.00001016
-326.06666667	-0.00001042
-326.03333333	-0.00003165
-326.00000000	-0.00000212
-325.96666667	-0.00001277
-325.93333333	-0.00001885
-325.90000000	-0.00003547
-325.86666667	-0.00003714
-325.83333333	-0.00003116
-325.80000000	-0.00002351
-325.76666667	-0.00001933
-325.73333333	-0.00004328
-325.70000000	-0.00003048
-325.66666667	-0.00000891
-325.63333333	-0.00004287
-325.60000000	-0.00005250
-325.56666667	-0.00006740
-325.53333333	-0.00004225
-325.50000000	-0.00003816
-325.46666667	-0.00002996
-325.43333333	-0.00007242
-325.40000000	-0.00008059
-325.36666667	-0.00007641
-325.33333334	-0.00006344
-325.30000000	-0.00006748
-325.26666667	-0.00002586
-325.23333334	-0.00012942
-325.20000000	-0.00009040
-325.16666667	-0.00010165
-325.13333334	-0.00003200
-325.10000000	-0.00006816
-325.06666667	-0.00017263
-325.03333334	-0.00003460
-325.00000000	-0.00008799
-324.96666667	-0.00005612
-324.93333334	-0.00014409
-324.90000000	-0.00015321
-324.86666667	-0.00010710
-324.83333334	-0.00005021
-324.80000000	-0.00008038
-324.76666667	-0.00008401
