# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-27.38923990
0.00732601	-42.31866237
0.01465201	-25.44371553
0.02197802	-25.47421740
0.02930403	-30.93643249
0.03663004	-33.07940492
0.04395604	-23.46014046
0.05128205	-20.04651855
0.05860806	-24.72616378
0.06593407	-20.80121547
0.07326007	-16.94910068
0.08058608	-23.47647228
0.08791209	-17.40261387
0.09523810	-10.66291636
0.10256410	-12.16014712
0.10989011	-15.73396974
0.11721612	-9.20896336
0.12454213	-8.55801964
0.13186813	-11.21405736
0.13919414	-8.18642709
0.14652015	-6.34215237
0.15384615	-7.64044372
0.16117216	-7.24049441
0.16849817	-5.36594926
0.17582418	-5.81631643
0.18315018	-7.19048309
0.19047619	-5.58739433
0.19780220	-3.92899043
0.20512821	-4.23351233
0.21245421	-5.07013248
0.21978022	-3.74798434
0.22710623	-2.66700075
0.23443224	-3.63503464
0.24175824	-3.94783743
0.24908425	-2.08230784
0.25641026	-1.99033530
0.26373626	-3.00173747
0.27106227	-1.85637481
0.27838828	-1.46381565
0.28571429	-2.64263974
0.29304029	-1.91050440
0.30036630	-0.87032453
0.30769231	-1.31912525
0.31501832	-1.57590205
0.32234432	-1.22248511
0.32967033	-1.33209514
0.33699634	-1.57126223
0.34432235	-1.33652584
0.35164835	-0.76561060
0.35897436	-0.51923032
0.36630037	-0.83525486
0.37362638	-1.14141742
0.38095238	-0.98952678
0.38827839	-0.67521107
0.39560440	-0.53381948
0.40293040	-0.37208402
0.41025641	-0.06353525
0.41758242	-0.16824796
0.42490843	-0.66758736
0.43223443	-0.85040349
0.43956044	-0.90268290
0.44688645	-0.87973238
0.45421246	-0.55753823
0.46153846	-0.57385848
0.46886447	-0.84573435
0.47619048	-0.95202822
0.48351649	-1.20569565
0.49084249	-1.17936558
0.49816850	-0.89615652
0.50549451	-0.91603180
0.51282052	-0.59930529
0.52014652	-0.47122598
0.52747253	-1.25947588
0.53479854	-1.39105059
0.54212454	-1.02008149
0.54945055	-2.23701410
0.55677656	-3.94480359
0.56410257	-2.79375795
0.57142857	-1.54832027
0.57875458	-1.73468917
0.58608059	-2.26979647
0.59340660	-2.06045826
0.60073260	-1.86267973
0.60805861	-1.96840058
0.61538462	-1.92153432
0.62271063	-1.95829893
0.63003663	-2.14537611
0.63736264	-2.38481809
0.64468865	-2.55013693
0.65201465	-2.31494474
0.65934066	-2.33896948
0.66666667	-2.58272877
0.67399268	-2.48690497
0.68131868	-2.96187885
0.68864469	-3.56383670
0.69597070	-3.37109620
0.70329671	-3.72307757
0.71062271	-3.85911655
0.71794872	-3.43519266
0.72527473	-4.10235776
0.73260074	-4.55855354
0.73992674	-4.45135099
0.74725275	-5.93726096
0.75457876	-6.65935797
0.76190477	-5.09739247
0.76923077	-4.72643529
0.77655678	-5.03070911
0.78388279	-5.08865471
0.79120879	-5.35573572
0.79853480	-5.57456052
0.80586081	-5.52771854
0.81318682	-5.58211823
0.82051282	-5.77263930
0.82783883	-5.88345725
0.83516484	-6.07095946
0.84249085	-6.54071209
0.84981685	-6.74078353
0.85714286	-6.67139392
0.86446887	-6.83739298
0.87179488	-6.82621009
0.87912088	-6.80884630
0.88644689	-7.22053677
0.89377290	-7.46386283
0.90109890	-7.47101305
0.90842491	-7.60936446
0.91575092	-7.56281299
0.92307693	-7.41266178
0.93040293	-7.53792191
0.93772894	-7.89514483
0.94505495	-8.14058240
0.95238096	-8.22751952
0.95970696	-8.45350395
0.96703297	-8.50089653
0.97435898	-8.45275610
0.98168499	-9.26142932
0.98901099	-10.23027338
0.99633700	-9.72147954
1.00366301	-9.30316438
1.01098902	-9.44038614
1.01831502	-9.25552955
1.02564103	-9.32476009
1.03296704	-9.57584679
1.04029304	-9.52346499
1.04761905	-10.03195482
1.05494506	-10.40286408
1.06227107	-10.05695882
1.06959707	-10.48976061
1.07692308	-10.55603498
1.08424909	-10.40400277
1.09157510	-13.62975768
1.09890110	-21.76347676
1.10622711	-15.21331376
1.11355312	-13.82297714
1.12087913	-13.42747985
1.12820513	-11.33851731
1.13553114	-11.38560661
1.14285715	-12.58439927
1.15018316	-12.79468960
1.15750916	-16.13369011
1.16483517	-25.51826807
1.17216118	-14.55771396
1.17948718	-12.36854515
1.18681319	-12.72631140
1.19413920	-12.35869633
1.20146521	-13.60616094
1.20879121	-16.35165874
1.21611722	-14.16621154
1.22344323	-13.77452431
1.23076924	-15.66217137
1.23809524	-13.98142397
1.24542125	-12.91250854
1.25274726	-13.60201713
1.26007327	-13.43302432
1.26739927	-13.32420847
1.27472528	-13.68693026
1.28205129	-13.54562006
1.28937729	-13.78201955
1.29670330	-14.23048237
1.30402931	-14.42080912
1.31135532	-14.71189155
1.31868132	-14.86392950
1.32600733	-14.90798968
1.33333334	-14.70859178
1.34065935	-14.67348583
1.34798535	-15.17261055
1.35531136	-15.27826701
1.36263737	-15.35203169
1.36996338	-15.54920148
1.37728938	-15.28239202
1.38461539	-15.69864764
1.39194140	-16.06188678
1.39926741	-16.17718951
1.40659341	-19.72093908
1.41391942	-25.71451492
1.42124543	-18.30672428
1.42857143	-16.60716481
1.43589744	-17.12517635
1.44322345	-16.87822550
1.45054946	-16.98832027
1.45787546	-17.47537104
1.46520147	-17.32760757
1.47252748	-17.46064773
1.47985349	-17.59170007
1.48717949	-17.48413345
1.49450550	-17.77713117
1.50183151	-18.03649368
1.50915752	-18.24615348
1.51648352	-18.58917942
1.52380953	-18.48641460
1.53113554	-18.45192817
1.53846155	-18.70405040
1.54578755	-18.81009762
1.55311356	-19.18909203
1.56043957	-19.51689710
1.56776557	-19.50560684
1.57509158	-19.84361107
1.58241759	-19.72452746
1.58974360	-19.64108906
1.59706960	-21.57755712
1.60439561	-24.22520920
1.61172162	-22.35377803
1.61904763	-20.84847220
1.62637363	-21.15706192
1.63369964	-21.67350595
1.64102565	-21.44976645
1.64835166	-22.30507053
1.65567766	-26.19790274
1.66300367	-34.58196671
1.67032968	-49.64266030
1.67765568	-33.18569776
1.68498169	-25.63074080
1.69230770	-23.50842942
1.69963371	-24.02416989
1.70695971	-26.02523346
1.71428572	-31.84590038
1.72161173	-36.57355402
1.72893774	-27.11819461
1.73626374	-24.81137204
1.74358975	-24.30545351
1.75091576	-24.35356605
1.75824177	-25.58540893
1.76556777	-26.68136593
1.77289378	-25.92128460
1.78021979	-25.04063984
1.78754580	-25.71969120
1.79487180	-29.12622281
1.80219781	-29.86343107
1.80952382	-26.51940887
1.81684982	-26.33088495
1.82417583	-27.01706733
1.83150184	-26.33096581
1.83882785	-26.71084754
1.84615385	-27.30889023
1.85347986	-26.79734275
1.86080587	-28.59260291
1.86813188	-36.34325059
1.87545788	-32.74614956
1.88278389	-28.22209115
1.89010990	-28.10068089
1.89743591	-28.59314719
1.90476191	-27.91650085
1.91208792	-29.47809201
1.91941393	-35.43523797
1.92673993	-33.03099748
1.93406594	-29.59589472
1.94139195	-29.30084184
1.94871796	-29.45002224
1.95604396	-29.58068852
1.96336997	-30.09586438
1.97069598	-30.48137438
1.97802199	-30.74082732
1.98534799	-30.75105215
1.99267400	-30.74793624
2.00000001	-30.92532071
2.00732602	-31.14769802
2.01465202	-31.92313217
2.02197803	-32.03892308
2.02930404	-31.60782894
2.03663005	-33.53948172
2.04395605	-36.07243685
2.05128206	-33.22188500
2.05860807	-31.98149497
2.06593407	-33.03360803
2.07326008	-35.04333872
2.08058609	-35.38325153
2.08791210	-33.72965487
2.09523810	-33.37045391
2.10256411	-33.89313498
2.10989012	-33.76729561
2.11721613	-34.19894850
2.12454213	-34.73519020
2.13186814	-34.59288839
2.13919415	-34.98972224
2.14652016	-34.89728353
2.15384616	-35.44349024
2.16117217	-40.41903670
2.16849818	-55.21155314
2.17582419	-39.76173627
2.18315019	-37.29205135
2.19047620	-38.99639954
2.19780221	-50.07992327
2.20512821	-42.01878940
2.21245422	-38.51515163
2.21978023	-43.38796600
2.22710624	-48.89516917
2.23443224	-39.67165950
2.24175825	-39.14503838
2.24908426	-39.34573511
2.25641027	-40.30860154
2.26373627	-48.00054946
2.27106228	-48.19857929
2.27838829	-41.31266321
2.28571430	-40.59379351
2.29304030	-40.36396993
2.30036631	-40.29042228
2.30769232	-40.74042451
2.31501832	-41.07386931
