# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_1000sampling.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
0.00000000	-6.15982345
0.00732422	-1.66570130
0.01464844	8.12209639
0.02197266	8.83994455
0.02929688	2.13783042
0.03662109	0.22007444
0.04394531	10.63921973
0.05126953	14.30927108
0.05859375	9.75418434
0.06591797	13.42365897
0.07324219	17.94672724
0.08056641	12.36757363
0.08789063	16.90119265
0.09521484	23.95747600
0.10253906	22.22727592
0.10986328	18.84435350
0.11718750	25.62670447
0.12451172	25.97332915
0.13183594	23.92418343
0.13916016	26.55768615
0.14648438	27.80034612
0.15380859	26.84487882
0.16113281	27.17641391
0.16845703	29.08354087
0.17578125	29.21001374
0.18310547	27.75714496
0.19042969	29.09125188
0.19775391	30.59585893
0.20507813	30.00497797
0.21240234	29.56889910
0.21972656	30.87514620
0.22705078	32.00978875
0.23437500	31.51616036
0.24169922	30.78038994
0.24902344	32.32303489
0.25634766	32.54302500
0.26367188	31.49047692
0.27099609	32.86353013
0.27832031	33.40135281
0.28564453	32.35584242
0.29296875	33.00945430
0.30029297	33.68056023
0.30761719	33.19683071
0.31494141	33.10689196
0.32226563	33.45890017
0.32958985	33.69930041
0.33691406	33.56034795
0.34423828	33.50290286
0.35156250	34.03126550
0.35888672	34.12429700
0.36621094	33.82415774
0.37353516	33.85900484
0.38085938	34.14138949
0.38818360	34.50640219
0.39550781	34.53866857
0.40283203	34.48811029
0.41015625	34.67600039
0.41748047	34.59943381
0.42480469	34.44779963
0.43212891	34.37658044
0.43945313	34.28133477
0.44677735	34.33344127
0.45410156	34.29257836
0.46142578	34.21918203
0.46875000	34.13684948
0.47607422	34.06758929
0.48339844	34.18751462
0.49072266	34.21137038
0.49804688	34.26830873
0.50537110	34.22950366
0.51269531	34.30885408
0.52001953	34.57534395
0.52734375	34.02671057
0.53466797	34.01437686
0.54199219	34.57530499
0.54931641	33.09160335
0.55664063	31.08552348
0.56396485	32.31627230
0.57128906	33.47000589
0.57861328	33.73025953
0.58593750	33.32076240
0.59326172	33.47026212
0.60058594	33.78817589
0.60791016	33.22434505
0.61523438	33.36759698
0.62255860	33.50166654
0.62988282	33.21761559
0.63720703	33.51749624
0.64453125	33.26213037
0.65185547	33.27566630
0.65917969	33.36557347
0.66650391	32.75922614
0.67382813	33.07836363
0.68115235	32.81897443
0.68847657	32.22071311
0.69580078	32.72677456
0.70312500	32.10804816
0.71044922	31.85055058
0.71777344	32.30620741
0.72509766	31.45971534
0.73242188	31.50988693
0.73974610	31.64792395
0.74707032	30.10832595
0.75439453	29.53344603
0.76171875	30.63364957
0.76904297	31.18956944
0.77636719	30.96929642
0.78369141	30.88837140
0.79101563	31.02484993
0.79833985	30.74639576
0.80566407	30.64706557
0.81298828	30.48240295
0.82031250	30.16163526
0.82763672	30.17816489
0.83496094	30.05597107
0.84228516	29.92202778
0.84960938	29.73733582
0.85693360	29.58809841
0.86425782	29.52551410
0.87158203	29.30553329
0.87890625	29.43555820
0.88623047	29.31073332
0.89355469	29.13062507
0.90087891	29.29314200
0.90820313	28.99358606
0.91552735	28.98776928
0.92285157	28.98560259
0.93017579	28.76411749
0.93750000	28.85391151
0.94482422	28.49617029
0.95214844	28.51708595
0.95947266	28.41080127
0.96679688	27.82402223
0.97412110	28.09309599
0.98144532	27.27494826
0.98876954	26.22181863
0.99609375	27.20840440
1.00341797	27.49817833
1.01074219	27.43872837
1.01806641	27.35862714
1.02539063	27.21559267
1.03271485	27.27629743
1.04003907	27.11544091
1.04736329	27.12882730
1.05468750	26.82293019
1.06201172	26.72654915
1.06933594	26.64993777
1.07666016	26.10717521
1.08398438	26.29743903
1.09130860	23.61624905
1.09863282	13.95241583
1.10595704	22.14352261
1.11328125	22.99722734
1.12060547	23.48604170
1.12792969	25.74807263
1.13525391	25.35443606
1.14257813	24.86190367
1.14990235	24.57366923
1.15722657	20.65122109
1.16455079	12.28654055
1.17187500	22.10588665
1.17919922	24.98460508
1.18652344	24.62267345
1.19384766	24.91546887
1.20117188	24.23973582
1.20849610	20.95631793
1.21582032	23.43061339
1.22314454	23.77327910
1.23046876	21.14380683
1.23779297	23.65290767
1.24511719	24.48332672
1.25244141	24.04427345
1.25976563	24.48869262
1.26708985	24.10925038
1.27441407	24.08567724
1.28173829	24.06491432
1.28906251	23.73714615
1.29638672	23.86817392
1.30371094	23.57633899
1.31103516	23.44951364
1.31835938	23.20889000
1.32568360	22.81842635
1.33300782	23.11386936
1.34033204	23.02155931
1.34765626	22.76140431
1.35498047	22.81138273
1.36230469	22.60250293
1.36962891	22.39198124
1.37695313	22.45193010
1.38427735	22.10762119
1.39160157	21.86833387
1.39892579	21.87276346
1.40625001	18.54150566
1.41357422	11.75593494
1.42089844	19.91661649
1.42822266	21.43190181
1.43554688	20.86890511
1.44287110	21.33548599
1.45019532	21.05847037
1.45751954	20.95692198
1.46484376	21.08282210
1.47216797	20.71341977
1.47949219	20.80060803
1.48681641	20.56871447
1.49414063	20.41888121
1.50146485	20.40240151
1.50878907	20.09923766
1.51611329	20.09650498
1.52343751	19.83365489
1.53076173	19.74643142
1.53808594	19.64263862
1.54541016	19.36139596
1.55273438	19.49713840
1.56005860	19.14732413
1.56738282	19.13266507
1.57470704	19.05962101
1.58203126	18.62800713
1.58935548	18.95276851
1.59667969	17.16789083
1.60400391	13.91957089
1.61132813	16.67605962
1.61865235	17.86710224
1.62597657	17.50964134
1.63330079	17.16699209
1.64062501	16.92074259
1.64794923	16.29803893
1.65527344	12.70202066
1.66259766	2.73112611
1.66992188	-8.66421744
1.67724610	5.14970512
1.68457032	13.35632359
1.69189454	15.26856188
1.69921876	14.68529226
1.70654298	13.11516782
1.71386719	7.38848292
1.72119141	3.05149473
1.72851563	11.63076919
1.73583985	13.98611144
1.74316407	14.75955150
1.75048829	14.58516009
1.75781251	13.55163113
1.76513673	12.71483759
1.77246094	13.30291404
1.77978516	14.25772644
1.78710938	13.42189730
1.79443360	9.83603131
1.80175782	9.42485770
1.80908204	12.85048198
1.81640626	13.43636327
1.82373048	12.76691319
1.83105470	13.17397696
1.83837891	12.94939757
1.84570313	12.24787628
1.85302735	12.75742607
1.86035157	11.15891045
1.86767579	2.98059846
1.87500001	7.13915539
1.88232423	11.63065308
1.88964845	11.67081629
1.89697266	11.14326166
1.90429688	11.82059528
1.91162110	10.57444568
1.91894532	4.70613015
1.92626954	7.02878315
1.93359376	10.86775947
1.94091798	10.80195083
1.94824220	10.60644875
1.95556641	10.85325504
1.96289063	10.35722273
1.97021485	10.39740325
1.97753907	10.18466984
1.98486329	9.92047964
1.99218751	9.93989289
1.99951173	9.52506794
2.00683595	9.65814168
2.01416016	9.10453377
2.02148438	8.75390490
2.02880860	9.48740441
2.03613282	7.38484164
2.04345704	4.45972818
2.05078126	7.78909881
2.05810548	9.02985908
2.06542970	8.40419765
2.07275391	6.55022850
2.08007813	5.97759420
2.08740235	8.08198116
2.09472657	8.31665453
2.10205079	7.67776169
2.10937501	7.97841880
2.11669923	7.62151349
2.12402345	7.35884075
2.13134767	7.55586868
2.13867188	6.92695059
2.14599610	6.80065933
2.15332032	6.24717582
2.16064454	1.36816549
2.16796876	-12.69198163
2.17529298	3.01814586
2.18261720	5.62225765
2.18994142	3.73223607
2.19726563	-8.38773900
2.20458985	0.66547227
2.21191407	4.38579369
2.21923829	-0.52621049
2.22656251	-6.23539869
2.23388673	3.33535645
2.24121095	4.09583321
2.24853517	3.83594553
2.25585938	2.95907481
2.26318360	-4.53129523
2.27050782	-4.74451184
2.27783204	2.43216933
2.28515626	3.58164555
2.29248048	3.77364451
2.29980470	3.70163654
2.30712892	3.39288021
2.31445313	3.05390473
2.32177735	1.97745395
2.32910157	2.17077845
2.33642579	1.85259639
2.34375001	-2.85914562
2.35107423	-1.87375614
2.35839845	0.67538964
2.36572267	-3.19475505
2.37304688	-2.49721256
2.38037110	0.34405286
2.38769532	-3.73671008
2.39501954	-17.83513361
2.40234376	-2.97302550
2.40966798	0.00746697
2.41699220	0.56805999
2.42431642	-0.02230257
2.43164064	-0.17186631
2.43896485	-0.14897692
2.44628907	-0.39044226
2.45361329	-1.24284312
2.46093751	-6.77336973
2.46826173	-12.99282837
2.47558595	-2.46454670
2.48291017	-0.77189015
2.49023439	-0.77289160
2.49755860	-0.53243251
2.50488282	-0.71252675
2.51220704	-0.79017157
2.51953126	-0.82749624
2.52685548	-1.04083976
2.53417970	-1.01989224
2.54150392	-1.19588690
2.54882814	-1.39208029
2.55615235	-1.42451463
2.56347657	-1.91782369
2.57080079	-2.52690183
2.57812501	-2.38560418
2.58544923	-2.20057072
2.59277345	-2.56073993
2.60009767	-2.85444878
2.60742189	-3.05573482
