# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_calibration.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
0.00000000	-0.31638926
0.00732422	-0.90983376
0.01464844	10.24500522
0.02197266	10.00687981
0.02929688	4.76102310
0.03662109	-0.35764758
0.04394531	11.25706161
0.05126953	13.90619489
0.05859375	11.26693586
0.06591797	13.64871953
0.07324219	18.20597659
0.08056641	11.56365318
0.08789063	16.62096957
0.09521484	23.93820673
0.10253906	22.42162697
0.10986328	18.91334641
0.11718750	25.55367664
0.12451172	25.82532924
0.13183594	23.91006173
0.13916016	26.60552738
0.14648438	27.74864741
0.15380859	26.75568325
0.16113281	27.17582824
0.16845703	29.10732215
0.17578125	29.25854859
0.18310547	27.79101100
0.19042969	29.07285344
0.19775391	30.54411021
0.20507813	30.01776371
0.21240234	29.65713677
0.21972656	30.86406132
0.22705078	31.97381254
0.23437500	31.55002132
0.24169922	30.85632415
0.24902344	32.35520426
0.25634766	32.55221258
0.26367188	31.52312803
0.27099609	32.89848082
0.27832031	33.41017359
0.28564453	32.36832576
0.29296875	33.02826138
0.30029297	33.66982898
0.30761719	33.19370833
0.31494141	33.14903709
0.32226563	33.50631171
0.32958985	33.71716993
0.33691406	33.57439045
0.34423828	33.55489746
0.35156250	34.06956004
0.35888672	34.12347580
0.36621094	33.84184743
0.37353516	33.89948019
0.38085938	34.15676545
0.38818360	34.50531220
0.39550781	34.55355325
0.40283203	34.51115445
0.41015625	34.68572471
0.41748047	34.60470530
0.42480469	34.45200796
0.43212891	34.37151345
0.43945313	34.28839278
0.44677735	34.36360755
0.45410156	34.33001703
0.46142578	34.24303610
0.46875000	34.13137043
0.47607422	34.07071711
0.48339844	34.23099191
0.49072266	34.25542169
0.49804688	34.30414280
0.50537110	34.27252381
0.51269531	34.34002664
0.52001953	34.58515084
0.52734375	34.00690014
0.53466797	33.98844798
0.54199219	34.59601150
0.54931641	33.10060348
0.55664063	31.00287357
0.56396485	32.29976442
0.57128906	33.50365935
0.57861328	33.74089289
0.58593750	33.31507900
0.59326172	33.46345472
0.60058594	33.77843760
0.60791016	33.21836015
0.61523438	33.38148781
0.62255860	33.53515355
0.62988282	33.23756891
0.63720703	33.51521137
0.64453125	33.26745007
0.65185547	33.28482028
0.65917969	33.38290885
0.66650391	32.77302313
0.67382813	33.07340164
0.68115235	32.82306658
0.68847657	32.23075495
0.69580078	32.74456278
0.70312500	32.14472427
0.71044922	31.85292290
0.71777344	32.28912455
0.72509766	31.45943163
0.73242188	31.52531724
0.73974610	31.66555939
0.74707032	30.05835601
0.75439453	29.46317316
0.76171875	30.64449960
0.76904297	31.18971862
0.77636719	30.95210429
0.78369141	30.88506611
0.79101563	31.01983234
0.79833985	30.73657000
0.80566407	30.63974817
0.81298828	30.49864581
0.82031250	30.16427100
0.82763672	30.16670030
0.83496094	30.07310998
0.84228516	29.90778207
0.84960938	29.74084757
0.85693360	29.64158506
0.86425782	29.52096133
0.87158203	29.29175723
0.87890625	29.42877347
0.88623047	29.29187035
0.89355469	29.17649912
0.90087891	29.31562874
0.90820313	28.95399190
0.91552735	28.98148422
0.92285157	28.99763871
0.93017579	28.74966483
0.93750000	28.79817194
0.94482422	28.45014612
0.95214844	28.52052845
0.95947266	28.40378610
0.96679688	27.81685114
0.97412110	28.09117678
0.98144532	27.24065387
0.98876954	26.18690794
0.99609375	27.21037297
1.00341797	27.51437143
1.01074219	27.42849680
1.01806641	27.31887807
1.02539063	27.22174884
1.03271485	27.28846889
1.04003907	27.09992657
1.04736329	27.09760345
1.05468750	26.74487191
1.06201172	26.65021448
1.06933594	26.60442262
1.07666016	26.08266379
1.08398438	26.28416221
1.09130860	23.53079272
1.09863282	13.50873285
1.10595704	22.19235795
1.11328125	23.01957320
1.12060547	23.51224434
1.12792969	25.74347318
